merged_umls_label,disease_mondo_term_norm,earliest_year,disease,documents
Griseofulvin,dermatophytosis of groin and perianal area,1971.0,tinea cruris,"['ANDA060569', 'ANDA061996', 'ANDA065200', 'ANDA065354', 'ANDA065394', 'ANDA065438', 'ANDA091592', 'ANDA202482', 'ANDA202545', 'ANDA202805', 'ANDA204371']"
Griseofulvin,dermatophytosis of scalp or beard,1971.0,tinea capitis,"['ANDA060569', 'ANDA061996', 'ANDA065200', 'ANDA065354', 'ANDA065394', 'ANDA065438', 'ANDA091592', 'ANDA202482', 'ANDA202545', 'ANDA202805', 'ANDA204371']"
Griseofulvin,tinea barbae,1971.0,tinea barbae,"['ANDA060569', 'ANDA061996', 'ANDA065200', 'ANDA065354', 'ANDA065394', 'ANDA065438', 'ANDA091592', 'ANDA202482', 'ANDA202545', 'ANDA202805', 'ANDA204371']"
Griseofulvin,tinea corporis,1971.0,tinea corporis,"['ANDA060569', 'ANDA061996', 'ANDA065200', 'ANDA065354', 'ANDA065394', 'ANDA065438', 'ANDA091592', 'ANDA202482', 'ANDA202545', 'ANDA202805', 'ANDA204371']"
Griseofulvin,tinea pedis,1971.0,tinea pedis,"['ANDA060569', 'ANDA061996', 'ANDA065200', 'ANDA065354', 'ANDA065394', 'ANDA065438', 'ANDA091592', 'ANDA202482', 'ANDA202545', 'ANDA202805', 'ANDA204371']"
Griseofulvin,tinea unguium,1971.0,onychomycosis; tinea unguium,"['ANDA061996', 'ANDA202545', 'ANDA202805', 'ANDA204371'] ; ['ANDA060569', 'ANDA061996', 'ANDA065200', 'ANDA065354', 'ANDA065394', 'ANDA065438', 'ANDA091592', 'ANDA202482', 'ANDA202545', 'ANDA202805', 'ANDA204371']"
Guaifenesin,bronchial irritation,2004.0,bronchial irritation,"['ANDA206941', 'ANDA207602', 'ANDA209692', 'ANDA214781', 'ANDA217340', 'NDA021620']"
Guaifenesin,bronchial secretions,2018.0,bronchial secretions,['ANDA207342']
Guaifenesin,common cold,2004.0,common cold,"['ANDA091071', 'ANDA206941', 'ANDA207602', 'ANDA208369', 'ANDA209692', 'ANDA212542', 'ANDA213203', 'ANDA214407', 'ANDA214781', 'ANDA216082', 'ANDA217340', 'NDA021585', 'NDA021620', 'NDA205474']"
Guaifenesin,cough,2002.0,cough,"['ANDA078912', 'ANDA206941', 'ANDA207342', 'ANDA207602', 'ANDA209215', 'ANDA209254', 'ANDA209692', 'ANDA210453', 'ANDA213420', 'ANDA214781', 'ANDA215932', 'ANDA217340', 'ANDA217780', 'NDA021282', 'NDA021620', 'NDA205474']"
Guaifenesin,excessive mucus,2011.0,excessive mucus,"['ANDA078912', 'ANDA213420']"
Guaifenesin,mucus,2002.0,mucus,"['ANDA209254', 'ANDA210453', 'ANDA215932', 'ANDA217780', 'NDA021282']"
Guaifenesin,nasal congestion,2015.0,nasal congestion,"['ANDA091071', 'ANDA208369', 'ANDA214407', 'ANDA216082']"
Guaifenesin,pharyngitis,2018.0,throat irritation,['ANDA209692']
Guaifenesin,phlegm,2002.0,phlegm,"['ANDA209215', 'ANDA209254', 'ANDA210453', 'ANDA217780', 'NDA021282']"
Guaifenesin,seasonal allergic rhinitis,2004.0,hay fever,"['ANDA091071', 'ANDA208369', 'ANDA212542', 'ANDA213203', 'ANDA214407', 'ANDA216082', 'NDA021585']"
Guaifenesin,sinus congestion,2004.0,sinus congestion,"['ANDA091071', 'ANDA208369', 'ANDA212542', 'ANDA213203', 'ANDA214407', 'ANDA216082', 'NDA021585']"
Guaifenesin,sinus pressure,2004.0,sinus pressure,"['ANDA091071', 'ANDA208369', 'ANDA212542', 'ANDA213203', 'ANDA214407', 'ANDA216082', 'NDA021585']"
Guaifenesin,upper respiratory allergies,2004.0,upper respiratory allergies,"['ANDA091071', 'ANDA208369', 'ANDA212542', 'ANDA213203', 'ANDA214407', 'ANDA216082', 'NDA021585']"
Guanfacine,"attention deficit hyperactivity disorder, inattentive type",2009.0,adhd,"['ANDA200881', 'ANDA201408', 'ANDA205430', 'ANDA213428', 'ANDA217638', 'ANDA219033', 'ANDA219689', 'NDA022037']"
Guanfacine,attention deficit-hyperactivity disorder,2009.0,attention deficit hyperactivity disorder,"['ANDA200881', 'ANDA201408', 'ANDA205430', 'ANDA205689', 'ANDA213428', 'ANDA217269', 'ANDA217638', 'ANDA219033', 'ANDA219689', 'NDA022037']"
Guanfacine,hypertensive disorder,1995.0,hypertension,"['ANDA074145', 'ANDA074673', 'ANDA074796', 'ANDA075109', 'ANDA214689', 'ANDA216399', 'ANDA216762', 'ANDA216828', 'ANDA217293', 'ANDA218326']"
HYDROXYprogesterone caproate (USP),abnormal uterine bleeding,2019.0,abnormal uterine bleeding,['ANDA211142']
HYDROXYprogesterone caproate (USP),advanced adenocarcinoma of the uterine corpus,2019.0,advanced adenocarcinoma of the uterine corpus,['ANDA211142']
HYDROXYprogesterone caproate (USP),amenorrhea,2019.0,amenorrhea,['ANDA211142']
Halcinonide,corticosteroid-responsive dermatoses,1974.0,corticosteroid-responsive dermatoses,"['ANDA211027', 'ANDA217671', 'NDA017556', 'NDA017823']"
Halcinonide,inflammatory disease,1974.0,inflammation; inflammatory manifestations,"['NDA017556', 'NDA017823'] ; ['ANDA211027']"
Halcinonide,prurigo,1974.0,pruritic manifestations; pruritus,"['ANDA211027'] ; ['NDA017556', 'NDA017823']"
Halobetasol propionate,corticosteroid-responsive dermatoses,2004.0,corticosteroid-responsive dermatoses,"['ANDA076872', 'ANDA077001', 'ANDA077109', 'ANDA077123', 'ANDA078162', 'ANDA213560']"
Halobetasol propionate,inflammatory disease,2004.0,inflammatory; inflammatory manifestations,"['ANDA077001', 'ANDA077123', 'ANDA078162'] ; ['ANDA077109', 'ANDA213560']"
Halobetasol propionate,prurigo,2004.0,pruritic; pruritic manifestations,"['ANDA077001', 'ANDA077123', 'ANDA078162'] ; ['ANDA077109', 'ANDA213560']"
Halobetasol propionate,psoriasis,2015.0,plaque psoriasis,"['ANDA215266', 'NDA208183', 'NDA209354', 'NDA209355']"
Haloperidol,psychotic disorder,1986.0,psychotic disorders,"['ANDA070278', 'ANDA071173', 'ANDA073037', 'ANDA073364', 'ANDA077580', 'ANDA211061', 'ANDA216004', 'ANDA216918', 'ANDA218371', 'ANDA218789']"
Haloperidol,schizophrenia,2001.0,schizophrenia,"['ANDA075689', 'ANDA075858', 'ANDA078347', 'ANDA091637', 'ANDA210356']"
Harkoseride,epilepsy with generalized tonic-clonic seizures,2023.0,primary generalized tonic-clonic seizures,['NDA216185']
Harkoseride,focal epilepsy,2023.0,partial-onset seizures,['NDA216185']
Helium,lung ventilation,2022.0,lung ventilation,['NDA214375']
Heparin,catheter-related bloodstream infections,2023.0,catheter-related bloodstream infections,['NDA214520']
Heparin,kidney failure,2023.0,kidney failure,['NDA214520']
Herceptin,HER2 positive breast carcinoma,1998.0,her2-overexpressing breast cancer,['BLA103792']
Herzuma,HER2 positive breast carcinoma,2018.0,her2-overexpressing breast cancer,['BLA761091']
"Hexafluoride, Sulfur",suboptimal echocardiograms,2014.0,suboptimal echocardiograms,['NDA203684']
Histidine,anastomotic leaks,2012.0,anastomotic leaks,['ANDA091112']
Histidine,complications from antineoplastic therapy,2012.0,complications from antineoplastic therapy,['ANDA091112']
Histidine,essential fatty acid deficiency,2014.0,essential fatty acid deficiency,['NDA200656']
Histidine,extensive burns,1984.0,extensive burns,['NDA019018']
Histidine,fistulae,2012.0,fistulae,['ANDA091112']
Histidine,gastrointestinal absorption of protein is impaired,1991.0,gastrointestinal absorption of protein is impaired,"['NDA020015', 'NDA020041']"
Histidine,ileus,2012.0,ileus,['ANDA091112']
Histidine,inflammatory disease,2012.0,inflammatory disease,['ANDA091112']
Histidine,low birth weight,1985.0,low birth weight,"['ANDA075880', 'NDA019398', 'NDA019492']"
Histidine,negative nitrogen balance,1984.0,negative nitrogen balance,"['ANDA020512', 'NDA018931', 'NDA019018', 'NDA020015', 'NDA020041', 'NDA020678', 'NDA020734', 'NDA020849', 'NDA200656']"
Histidine,obstruction,2012.0,obstruction,['ANDA091112']
Histidine,parenteral nutrition,1997.0,parenteral nutrition,['NDA020678']
Histidine,parenteral nutrition requirement,2014.0,parenteral nutrition requirement,['NDA200656']
Histidine,stress conditions,1991.0,stress conditions,"['NDA020015', 'NDA020041']"
"Hormone, Luteinizing",infertility disorder,2004.0,infertility,['BLA021663']
"Hormone, Luteinizing",primary ovarian failure,2004.0,primary ovarian failure,['BLA021663']
"Hormone, Parathyroid",autosomal dominant hypocalcemia,2015.0,hypocalcemia,['BLA125511']
"Hormone, Parathyroid",hypoparathyroidism,2015.0,hypoparathyroidism,['BLA125511']
Human growth hormone,acromegaly,2003.0,acromegaly,['BLA021106']
Human growth hormone,hereditary endocrine growth disease,2021.0,growth failure,"['BLA761177', 'BLA761184']"
Humira,rheumatoid arthritis,2002.0,rheumatoid arthritis,['BLA125057']
Hycamtin,cervical cancer,1996.0,cervical cancer,['NDA020671']
Hycamtin,ovarian melanoma,1996.0,metastatic ovarian cancer,['NDA020671']
Hycamtin,relapsed small cell lung cancer,2007.0,relapsed small cell lung cancer,['NDA020981']
Hycamtin,small cell lung carcinoma,1996.0,small cell lung cancer,['NDA020671']
Hydralazine,essential hypertension,1978.0,essential hypertension; severe essential hypertension,"['ANDA040858', 'ANDA040901', 'ANDA086242', 'ANDA088467', 'ANDA088468', 'ANDA089097', 'ANDA089098', 'ANDA090255', 'ANDA090527', 'ANDA200737', 'ANDA200770', 'ANDA203845', 'ANDA205236', 'ANDA211010'] ; ['ANDA040136', 'ANDA040388', 'ANDA040730', 'ANDA202938', 'ANDA213667', 'ANDA215147', 'ANDA217501', 'ANDA219797']"
Hydralazine,heart failure,2005.0,heart failure,"['ANDA215586', 'ANDA215988', 'NDA020727']"
"Hydrobromide, Dextromethorphan",allergic disease,1957.0,allergy,"['ANDA040649', 'ANDA088811', 'ANDA088864', 'ANDA090575', 'ANDA091687', 'ANDA202940', 'ANDA203375', 'ANDA203997', 'ANDA205292', 'ANDA207676', 'ANDA210647', 'ANDA211170', 'ANDA213125', 'NDA011265']"
"Hydrobromide, Dextromethorphan",bronchial irritation,2017.0,bronchial irritation,"['ANDA203133', 'ANDA207602', 'ANDA209692']"
"Hydrobromide, Dextromethorphan",common cold,1957.0,common cold; the common cold,"['ANDA091135', 'ANDA203133', 'ANDA206941', 'ANDA207602', 'ANDA209692', 'ANDA214781', 'ANDA217340', 'NDA021620'] ; ['ANDA040649', 'ANDA088811', 'ANDA088864', 'ANDA090575', 'ANDA091687', 'ANDA202940', 'ANDA203375', 'ANDA203997', 'ANDA205292', 'ANDA207676', 'ANDA210647', 'ANDA211170', 'ANDA213125', 'NDA011265']"
"Hydrobromide, Dextromethorphan",cough,2004.0,cough,"['ANDA091135', 'ANDA203133', 'ANDA206941', 'ANDA207602', 'ANDA209692', 'ANDA214781', 'ANDA217340', 'NDA021620']"
"Hydrobromide, Dextromethorphan",coughs,1957.0,coughs,"['ANDA040649', 'ANDA088811', 'ANDA088864', 'ANDA090575', 'ANDA091687', 'ANDA202940', 'ANDA203375', 'ANDA203997', 'ANDA205292', 'ANDA207676', 'ANDA210647', 'ANDA211170', 'ANDA213125', 'NDA011265']"
"Hydrobromide, Dextromethorphan",endogenous depression,2022.0,mdd,['NDA215430']
"Hydrobromide, Dextromethorphan",major depressive disorder,2022.0,major depressive disorder,['NDA215430']
"Hydrobromide, Dextromethorphan",nasal congestion,1985.0,nasal congestion,"['ANDA088811', 'ANDA202940', 'ANDA203375', 'ANDA203997', 'ANDA205292', 'ANDA207676', 'ANDA210647', 'ANDA211170', 'ANDA213125']"
"Hydrobromide, Dextromethorphan",pba,2010.0,pba,"['ANDA218426', 'NDA021879']"
"Hydrobromide, Dextromethorphan",pharyngitis,2017.0,throat irritation,"['ANDA203133', 'ANDA209692']"
"Hydrobromide, Dextromethorphan",phlegm,2018.0,phlegm,['ANDA207602']
"Hydrobromide, Dextromethorphan",pseudobulbar affect,2010.0,pseudobulbar affect,"['ANDA218426', 'NDA021879']"
"Hydrobromide, Dextromethorphan",upper respiratory symptoms,1957.0,upper respiratory symptoms,"['ANDA040649', 'ANDA088811', 'ANDA088864', 'ANDA090575', 'ANDA091687', 'ANDA202940', 'ANDA203375', 'ANDA203997', 'ANDA205292', 'ANDA207676', 'ANDA210647', 'ANDA211170', 'ANDA213125', 'NDA011265']"
"Hydrochloride, Amantadine",Parkinson disease,2017.0,parkinson's disease,['NDA208944']
"Hydrochloride, Amantadine",influenza,1987.0,influenza a; influenza a virus infection,"['ANDA075060'] ; ['ANDA070589', 'ANDA074028', 'ANDA076186', 'ANDA078720', 'ANDA208096', 'ANDA208278', 'ANDA208966', 'ANDA209035', 'ANDA209047', 'ANDA209171', 'ANDA210129', 'ANDA210215', 'ANDA211354', 'ANDA212044', 'ANDA214284', 'ANDA214580']"
"Hydrochloride, Amantadine",obsolete influenza infection,1995.0,infection caused by various strains of influenza a virus,"['ANDA074509', 'ANDA075819', 'ANDA214178']"
"Hydrochloride, Amantadine",off episodes,2017.0,off episodes,['NDA208944']
"Hydrochloride, Amantadine",tardive dyskinesia,2017.0,dyskinesia,['NDA208944']
"Hydrochloride, Amiloride",congestive heart failure,1981.0,congestive heart failure,"['ANDA070346', 'ANDA071111', 'ANDA079133', 'NDA018200']"
"Hydrochloride, Amiloride",hypertensive disorder,1981.0,hypertension,"['ANDA070346', 'ANDA071111', 'ANDA079133', 'NDA018200']"
"Hydrochloride, Amiloride",potassium deficiency disease,1988.0,hypokalemia,['ANDA071111']
"Hydrochloride, Amiloride",significant cardiac arrhythmias,1988.0,significant cardiac arrhythmias,['ANDA071111']
"Hydrochloride, Aminolevulinic Acid",actinic keratosis,1999.0,actinic keratoses,"['NDA020965', 'NDA208081']"
"Hydrochloride, Aminolevulinic Acid",glioma,2017.0,glioma,['NDA208630']
"Hydrochloride, Aminolevulinic Acid",punctate palmoplantar keratoderma type III,2016.0,aks,['NDA208081']
"Hydrochloride, Amiodarone",atrial tachycardia,1998.0,tachycardia,"['ANDA075135', 'ANDA075389', 'ANDA075424', 'ANDA076362', 'ANDA077069', 'ANDA078578', 'ANDA079029', 'ANDA204742', 'ANDA213446']"
"Hydrochloride, Amiodarone",ventricular fibrillation,1998.0,ventricular fibrillation,"['ANDA075135', 'ANDA075389', 'ANDA075424', 'ANDA075761', 'ANDA076217', 'ANDA076362', 'ANDA077069', 'ANDA077161', 'ANDA077234', 'ANDA078578', 'ANDA079029', 'ANDA204550', 'ANDA204742', 'ANDA213446', 'ANDA218253', 'NDA022325']"
"Hydrochloride, Amiodarone",ventricular tachycardia,2002.0,ventricular tachycardia,"['ANDA075761', 'ANDA076217', 'ANDA077161', 'ANDA077234', 'ANDA204550', 'ANDA218253', 'NDA022325']"
"Hydrochloride, Arginine",acromegaly,1973.0,acromegaly,['NDA016931']
"Hydrochloride, Arginine",chromophobe adenoma,1973.0,chromophobe adenoma,['NDA016931']
"Hydrochloride, Arginine",craniopharyngioma,1973.0,postsurgical craniopharyngioma,['NDA016931']
"Hydrochloride, Arginine",hereditary endocrine growth disease,1973.0,problems of growth and stature,['NDA016931']
"Hydrochloride, Arginine",hypophysectomy,1973.0,hypophysectomy,['NDA016931']
"Hydrochloride, Arginine",pituitary dwarfism,1973.0,pituitary dwarfism,['NDA016931']
"Hydrochloride, Arginine",pituitary gigantism,1973.0,gigantism,['NDA016931']
"Hydrochloride, Arginine","pituitary hormone deficiency, combined, 2",1973.0,panhypopituitarism,['NDA016931']
"Hydrochloride, Arginine",pituitary trauma,1973.0,pituitary trauma,['NDA016931']
"Hydrochloride, Atomoxetine","attention deficit hyperactivity disorder, inattentive type",2002.0,adhd,"['ANDA078983', 'ANDA079016', 'ANDA079017', 'ANDA079022', 'ANDA090609', 'ANDA202682', 'NDA021411']"
"Hydrochloride, Atomoxetine",attention deficit-hyperactivity disorder,2002.0,attention-deficit/hyperactivity disorder,"['ANDA078983', 'ANDA079016', 'ANDA079017', 'ANDA079019', 'ANDA079021', 'ANDA079022', 'ANDA090609', 'ANDA202682', 'NDA021411']"
"Hydrochloride, Betaxolol",chronic closed-angle glaucoma,1985.0,chronic open-angle glaucoma,"['NDA019270', 'NDA019845']"
"Hydrochloride, Betaxolol",elevated intraocular pressure,1989.0,elevated intraocular pressure,['NDA019845']
"Hydrochloride, Betaxolol",hypertensive disorder,1999.0,hypertension,"['ANDA075541', 'ANDA078962']"
"Hydrochloride, Betaxolol",ocular hypertension,1985.0,ocular hypertension,"['NDA019270', 'NDA019845']"
"Hydrochloride, Buprenorphine",obsolete disorder involving pain,1996.0,pain,"['ANDA074137', 'ANDA076931', 'ANDA206586', 'ANDA219302', 'NDA207932']"
"Hydrochloride, Buprenorphine",opiate dependence,2009.0,opioid dependence,"['ANDA078633', 'ANDA090279', 'ANDA090622', 'ANDA090819', 'ANDA091422', 'ANDA201633', 'ANDA201760', 'ANDA203136', 'ANDA203326', 'ANDA204431', 'ANDA205022', 'ANDA205299', 'ANDA205601', 'ANDA205806', 'ANDA205954', 'ANDA207000', 'ANDA207276', 'ANDA207607', 'ANDA209069', 'ANDA211785', 'ANDA212756', 'NDA022410', 'NDA204242']"
"Hydrochloride, Buspirone",anxiety disorder,2001.0,anxiety; anxiety disorder; anxiety disorders,"['ANDA075022', 'ANDA075388', 'ANDA075521', 'ANDA076008', 'ANDA078246', 'ANDA078302', 'ANDA078888', 'ANDA202087', 'ANDA202330', 'ANDA202557', 'ANDA204582', 'ANDA208829', 'ANDA208972', 'ANDA209696', 'ANDA210907', 'ANDA218628'] ; ['ANDA209696'] ; ['ANDA075022', 'ANDA075388', 'ANDA075521', 'ANDA076008', 'ANDA078246', 'ANDA078302', 'ANDA078888', 'ANDA202087', 'ANDA202330', 'ANDA202557', 'ANDA204582', 'ANDA208829', 'ANDA208972', 'ANDA210907', 'ANDA218628']"
"Hydrochloride, Carteolol",chronic closed-angle glaucoma,2000.0,chronic open-angle glaucoma,['ANDA075476']
"Hydrochloride, Carteolol",ocular hypertension,2000.0,intraocular hypertension,['ANDA075476']
"Hydrochloride, Chlordiazepoxide",alcohol abuse,1976.0,acute alcoholism,"['ANDA083116', 'ANDA084041', 'ANDA084678', 'ANDA084679', 'ANDA084768', 'ANDA084769', 'ANDA085461', 'ANDA085472', 'ANDA085475']"
"Hydrochloride, Chlordiazepoxide",anxiety disorder,1976.0,anxiety; anxiety disorders,"['ANDA083116', 'ANDA084041', 'ANDA084678', 'ANDA084679', 'ANDA084768', 'ANDA084769', 'ANDA085461', 'ANDA085472', 'ANDA085475'] ; ['ANDA083116', 'ANDA084041', 'ANDA084678', 'ANDA084679', 'ANDA084768', 'ANDA084769', 'ANDA085461', 'ANDA085472', 'ANDA085475']"
"Hydrochloride, Chlordiazepoxide",apprehension,1976.0,apprehension,"['ANDA083116', 'ANDA084768', 'ANDA084769']"
"Hydrochloride, Chlordiazepoxide",digestive system disorder,1966.0,gastrointestinal disorders,"['ANDA211421', 'ANDA212344', 'ANDA213530', 'ANDA214065', 'ANDA214698', 'ANDA215555', 'ANDA215835', 'ANDA216419', 'ANDA216969', 'NDA012750']"
"Hydrochloride, Chlordiazepoxide",preoperative apprehension and anxiety,1976.0,preoperative apprehension and anxiety,"['ANDA084041', 'ANDA084678', 'ANDA084679', 'ANDA085461', 'ANDA085472', 'ANDA085475']"
"Hydrochloride, Chlordiazepoxide",substance withdrawal syndrome,1976.0,withdrawal symptoms,"['ANDA083116', 'ANDA084768', 'ANDA084769']"
"Hydrochloride, Chlorpromazine",acute intermittent porphyria,1974.0,acute intermittent porphyria,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",aggressivity,1974.0,aggressivity,"['ANDA083329', 'ANDA216911']"
"Hydrochloride, Chlorpromazine",apprehension,1974.0,apprehension,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",bipolar disorder,1974.0,manic type; manic-depressive illness,"['ANDA083329', 'ANDA216911'] ; ['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",chronic hiccup,1974.0,intractable hiccups,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",conduct disorder,1974.0,conduct disorders,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",difficulty sustaining attention,1974.0,difficulty sustaining attention,"['ANDA083329', 'ANDA216911']"
"Hydrochloride, Chlorpromazine",hyperactive children,1974.0,hyperactive children,"['ANDA083329', 'ANDA216911', 'ANDA217275']"
"Hydrochloride, Chlorpromazine",impulsivity,1974.0,impulsivity,"['ANDA083329', 'ANDA216911']"
"Hydrochloride, Chlorpromazine",mood lability,1974.0,mood lability,"['ANDA083329', 'ANDA216911']"
"Hydrochloride, Chlorpromazine",nausea,1974.0,nausea,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",poor frustration tolerance,1974.0,poor frustration tolerance,"['ANDA083329', 'ANDA216911']"
"Hydrochloride, Chlorpromazine",psychotic disorder,1974.0,psychotic disorders,"['ANDA083386', 'ANDA084112', 'ANDA084113', 'ANDA084114', 'ANDA084115', 'ANDA209755', 'ANDA212144', 'ANDA212630', 'ANDA212996', 'ANDA213368', 'ANDA213590', 'ANDA214256', 'ANDA214542', 'ANDA214827', 'ANDA216678', 'ANDA216788', 'ANDA217350']"
"Hydrochloride, Chlorpromazine",restlessness,1974.0,restlessness,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",schizophrenia,1974.0,schizophrenia,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",severe behavioral problems,1974.0,severe behavioral problems,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",tetanus,1974.0,tetanus,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Chlorpromazine",vomiting,1974.0,vomiting,"['ANDA080365', 'ANDA083329', 'ANDA211816', 'ANDA216724', 'ANDA216911', 'ANDA217275', 'ANDA218229', 'ANDA218272']"
"Hydrochloride, Ciprofloxacin",acute cystitis,1987.0,acute uncomplicated cystitis,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",acute exacerbation of chronic bronchitis,1987.0,acute exacerbation of chronic bronchitis,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",acute maxillary sinusitis,1987.0,acute sinusitis,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",acute otitis externa,1998.0,acute otitis externa,"['ANDA215768', 'ANDA216501', 'ANDA217887', 'NDA020805', 'NDA021918']"
"Hydrochloride, Ciprofloxacin",acute otitis media with tympanostomy tubes (aomt),2016.0,acute otitis media with tympanostomy tubes (aomt),['NDA208251']
"Hydrochloride, Ciprofloxacin",aoe,2023.0,aoe,"['ANDA215768', 'ANDA216501']"
"Hydrochloride, Ciprofloxacin",bacterial conjunctivitis,1998.0,bacterial conjunctivitis,['NDA020369']
"Hydrochloride, Ciprofloxacin",bacterial urinary tract infection,1987.0,urinary tract infections; urinary tract infections (uti); uti,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'NDA020780'] ; ['ANDA076558', 'ANDA208921', 'NDA019537'] ; ['ANDA075939', 'ANDA076126']"
"Hydrochloride, Ciprofloxacin",bone and joint infections,1987.0,bone and joint infections,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",chronic prostatitis,1987.0,chronic bacterial prostatitis,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",complicated intra-abdominal infections,1987.0,complicated intra-abdominal infections,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",complicated uti,1997.0,complicated uti,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",complicated uti and pyelonephritis,1987.0,complicated uti and pyelonephritis,['NDA019537']
"Hydrochloride, Ciprofloxacin",complicated uti and pyelonephritis in pediatric patients,2004.0,complicated uti and pyelonephritis in pediatric patients,"['ANDA076558', 'ANDA208921']"
"Hydrochloride, Ciprofloxacin",conjunctivitis,1990.0,conjunctivitis,"['ANDA075928', 'ANDA077568', 'ANDA204613', 'NDA019992']"
"Hydrochloride, Ciprofloxacin",corneal ulcer,1990.0,corneal ulcers,"['ANDA075928', 'ANDA077568', 'ANDA204613', 'NDA019992']"
"Hydrochloride, Ciprofloxacin",dysentery,1987.0,infectious diarrhea,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",enteric fever,1997.0,enteric fever,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076896', 'NDA020780']"
"Hydrochloride, Ciprofloxacin",infectious otitis media,2003.0,acute otitis media; aom,"['ANDA205548', 'ANDA210470', 'NDA021537'] ; ['NDA021537']"
"Hydrochloride, Ciprofloxacin",inhalational anthrax,1987.0,inhalational anthrax; inhalational anthrax post-exposure,"['ANDA075593', 'ANDA076126', 'NDA020780'] ; ['ANDA075939', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537']"
"Hydrochloride, Ciprofloxacin",plague,1987.0,plague,"['ANDA075593', 'ANDA075939', 'ANDA076126', 'ANDA076558', 'ANDA076593', 'ANDA076639', 'ANDA076794', 'ANDA076896', 'ANDA208921', 'NDA019537', 'NDA020780']"
